"SkuName","SkuPartNumber","SkuID","ChildServicePlan","ChildServicePlanName"
"Digital Messaging For Gcc Test Sku","MESSAGING_GCC_TEST","064a9707-9dba-4cc1-9902-38bfcfda6328","DYN365_CS_CHAT_FPA_GOV (b9f7ce72-67ff-4695-a9d9-5ff620232024),DYN365_CS_MESSAGING_TPS_GOV (9d37aa61-3cc3-457c-8b54-e6f3853aa6b6),DYN365_CS_MESSAGING_GOV (e304c3c3-f86c-4200-b174-1ade48805b22),DYN365_CS_CHAT_GOV (ffb878a5-3184-472b-800b-65eadc63d764),POWER_VIRTUAL_AGENTS_D365_CS_CHAT_GOV (9023fe69-f9e0-4c1e-bfde-654954469162),POWER_VIRTUAL_AGENTS_D365_CS_MESSAGING_GOV (e501d49b-1176-4816-aece-2563c0d995db)","Dynamics 365 Customer Service Chat Application Integration For Government (B9f7ce72-67Ff-4695-A9d9-5Ff620232024),Dynamics 365 Customer Service Digital Messaging Add-On For Government (9D37aa61-3Cc3-457C-8B54-E6f3853aa6b6),Dynamics 365 Customer Service Digital Messaging Application Integration For Government (E304c3c3-F86c-4200-B174-1Ade48805b22),Dynamics 365 For Customer Service Chat For Government (Ffb878a5-3184-472B-800B-65Eadc63d764),Power Virtual Agents For Chat For Gov (9023Fe69-F9e0-4C1e-Bfde-654954469162),Power Virtual Agents For Digital Messaging For Gov (E501d49b-1176-4816-Aece-2563C0d995db)"
"Dynamics 365 - Additional Database Storage (Qualified Offer)","CRMSTORAGE","328dc228-00bc-48c6-8b09-1fbc8bc3435d","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),CRMSTORAGE (77866113-0f3e-4e6e-9666-b1e25c6f99b0)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Dynamics Crm Online Storage Add-On (77866113-0F3e-4E6e-9666-B1e25c6f99b0)"
"Dynamics 365 - Additional Production Instance (Qualified Offer)","CRMINSTANCE","9d776713-14cb-4697-a21d-9a52455c738a","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),CRMINSTANCE (eeea837a-c885-4167-b3d5-ddde30cbd85f)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Dynamics Crm Online Instance (Eeea837a-C885-4167-B3d5-Ddde30cbd85f)"
"Dynamics 365 - Additional Non-Production Instance (Qualified Offer)","CRMTESTINSTANCE","e06abcc2-7ec5-4a79-b08b-d9c282376f72","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),CRMTESTINSTANCE (a98b7619-66c7-4885-bdfc-1d9c8c3d279f)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Dynamics Crm Online Additional Test Instance (A98b7619-66C7-4885-Bdfc-1D9c8c3d279f)"
"Dynamics 365 Ai For Market Insights (Preview)","SOCIAL_ENGAGEMENT_APP_USER","c6df1e30-1c9f-427f-907c-3d913474a1c7","SOCIAL_ENGAGEMENT_APP_USER (339f4def-5ad8-4430-8d12-da5fd4c769a7),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 Ai For Market Insights ??? Free (339F4def-5Ad8-4430-8D12-Da5fd4c769a7),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318)"
"Dynamics 365 Asset Management Addl Assets","DYN365_ASSETMANAGEMENT","673afb9d-d85b-40c2-914e-7bf46cd5cd75","D365_AssetforSCM (90467813-5b40-40d4-835c-abd48009b1d9),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Asset Maintenance Add-In (90467813-5B40-40D4-835C-Abd48009b1d9),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318)"
"Dynamics 365 Business Central Additional Environment Addon","DYN365_BUSCENTRAL_ADD_ENV_ADDON","a58f5506-b382-44d4-bfab-225b2fbf8390","DYN365_BUSCENTRAL_ENVIRONMENT (d397d6c6-9664-4502-b71c-66f39c400ca4)","Dynamics 365 Business Central Additional Environment Addon (D397d6c6-9664-4502-B71c-66F39c400ca4)"
"Dynamics 365 Business Central Database Capacity","DYN365_BUSCENTRAL_DB_CAPACITY","7d0d4f9a-2686-4cb8-814c-eff3fdab6d74","DYN365_BUSCENTRAL_DB_CAPACITY (ae6b27b3-fe31-4e77-ae06-ec5fabbc103a),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Dynamics 365 Business Central Database Capacity (Ae6b27b3-Fe31-4E77-Ae06-Ec5fabbc103a),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318)"
"Dynamics 365 Business Central Essentials","DYN365_BUSCENTRAL_ESSENTIAL","2880026b-2b0c-4251-8656-5d41ff11e3aa","DYN365_FINANCIALS_BUSINESS (920656a2-7dd8-4c83-97b6-a356414dbd36),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba),POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)","Dynamics 365 For Business Central Essentials (920656A2-7Dd8-4C83-97B6-A356414dbd36),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Flow For Dynamics 365 (7E6d7d78-73De-46Ba-83B1-6D25117334ba),Powerapps For Dynamics 365 (874Fc546-6Efe-4D22-90B8-5C4e7aa59f4b)"
"Dynamics 365 Business Central Essentials Attach","Dynamics_365_Business_Central_Essentials_Attach","1d506c23-1702-46f1-b940-160c55f98d05","Power_Pages_Internal_User (60bf28f9-2b70-4522-96f7-335f5e06c941),DYN365_BUSCENTRAL_ESSENTIALS_ATTACH (17ca446c-d7a4-4d29-8dec-8e241592164b),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b),FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)","Power Pages Internal User (60Bf28f9-2B70-4522-96F7-335F5e06c941),Dynamics 365 Business Central Essentials Attach (17Ca446c-D7a4-4D29-8Dec-8E241592164b),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Power Apps For Dynamics 365 (874Fc546-6Efe-4D22-90B8-5C4e7aa59f4b),Power Automate For Dynamics 365 (7E6d7d78-73De-46Ba-83B1-6D25117334ba)"
